State,District,Name,URL,Party,Office Room,Phone,Committee Assignment
"Alabama","1st","Moore, Barry","https://barrymoore.house.gov","R","1511 LHOB","(202) 225-2901","Agriculture;Judiciary"
"Alabama","2nd","Figures, Shomari","https://figures.house.gov/","D","225 CHOB","(202) 225-4931","Agriculture;Transportation and Infrastructure"
"Alabama","3rd","Rogers, Mike","https://mikerogers.house.gov/","R","2469 RHOB","(202) 225-3261","Armed Services"
"Alabama","4th","Aderholt, Robert","https://aderholt.house.gov/","R","272 CHOB","(202) 225-4876","Appropriations"
"Alabama","5th","Strong, Dale","https://strong.house.gov","R","449 CHOB","(202) 225-4801","Appropriations;Homeland Security"
"Alabama","6th","Palmer, Gary","https://palmer.house.gov/","R","170 CHOB","(202) 225-4921","Oversight and Government Reform;Energy and Commerce"
"Alabama","7th","Sewell, Terri","https://sewell.house.gov/","D","1035 LHOB","(202) 225-2665","House Administration;Ways and Means"
"Alaska","At Large","Begich, Nicholas","https://begich.house.gov/","R","153 CHOB","(202) 225-5765","Natural Resources;Transportation and Infrastructure;Science, Space, and Technology"
"American Samoa","Delegate","Radewagen, Aumua Amata","https://radewagen.house.gov","R","2001 RHOB","(202) 225-8577","Foreign Affairs;Natural Resources;Veterans' Affairs"
"Arizona","1st","Schweikert, David","https://schweikert.house.gov/","R","166 CHOB","(202) 225-2190","Ways and Means"
"Arizona","2nd","Crane, Elijah","https://crane.house.gov","R","307 CHOB","(202) 225-3361","Oversight and Government Reform;Homeland Security"
"Arizona","3rd","Ansari, Yassamin","https://ansari.house.gov/","D","1432 LHOB","(202) 225-4065","Oversight and Government Reform;Natural Resources"
"Arizona","4th","Stanton, Greg","https://stanton.house.gov/","D","207 CHOB","(202) 225-9888","Foreign Affairs;Transportation and Infrastructure;Select Comm on the Strategic Competition US and China"
"Arizona","5th","Biggs, Andy","https://biggs.house.gov","R","464 CHOB","(202) 225-2635","Oversight and Government Reform;Judiciary"
"Arizona","6th","Ciscomani, Juan","https://ciscomani.house.gov","R","461 CHOB","(202) 225-2542","Appropriations;Veterans' Affairs"
"Arizona","7th","Grijalva, Raúl M.- Vacancy","https://clerk.house.gov/members/AZ07/vacancy","D","1203 LHOB","(202) 225-2435",""
"Arizona","8th","Hamadeh, Abraham","https://hamadeh.house.gov/","R","1722 LHOB","(202) 225-4576","Armed Services;Veterans' Affairs"
"Arizona","9th","Gosar, Paul","https://gosar.house.gov/","R","2057 RHOB","(202) 225-2315","Oversight and Government Reform;Natural Resources"
"Arkansas","1st","Crawford, Eric","https://crawford.house.gov/","R","2422 RHOB","(202) 225-4076","Agriculture;Intelligence;Transportation and Infrastructure"
"Arkansas","2nd","Hill, J.","https://hill.house.gov/","R","1533 LHOB","(202) 225-2506","Financial Services;Intelligence"
